#CHROM	BEGIN	END	MARKER_ID	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
multichrs	0	0	multichrs:0-0_MODY_Extended	11919	0.0064603	55	27	12	0.019181	9.8445	4.2029	2.3423	MODY_Extended	ldl_mgdl	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Low_LDL	6880	0.0015988	29	6	4	3.07E-05	-54.226	13	-4.1713	Low_LDL	ldl_mgdl_adj	40	EUR_only	covart2d_with_pre	pathogenic
8	19797040	19819724	8:19797040-19819724_High_triglycerides	7292	0.21613	5	3	0	6.50E-05	-0.052515	0.013141	-3.9962	High_triglycerides	tg_mgdl_adj_ln	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	3897	0.007185	55	13	6	0.038895	-0.19629	0.095009	-2.066	MODY_Extended	tg_mgdl_adj_ln	40	control_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	11919	0.0002517	8	3	3	0.68267	-8.67	21.207	-0.40883	Lipodystrophy	ldl_mgdl	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	6592	0.0019721	53	8	6	NA	NA	NA	NA	High_LDL	high_ldl_adj	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3185	0.0065934	57	11	6	0.13692	-0.16037	0.10779	-1.4877	MonogenicDM_all	tg_mgdl_ln	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	7292	0.00013714	2	1	1	NA	NA	NA	NA	Lipodystrophy	high_tg	40	EUR_only	"covart2d,covarlipidmeds"	all_vus
16	56996009	57016150	16:56996009-57016150_High_HDL	11075	0.00081264	4	3	0	0.020431	10.3	4.4422	2.3187	High_HDL	hdl_mgdl	40	case_only	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	17339	0.0019032	18	11	5	0.26305	2.5805	2.3055	1.1193	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	18415	0.00016291	2	2	1	0.47066	-0.070388	0.097568	-0.72143	Lipodystrophy	bmi_ln	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	11233	0.0014244	27	14	13	0.20199	-0.1713	0.13425	-1.276	MonogenicDM_all	tg_mgdl_ln	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	14118	0.00028333	8	4	4	0.026486	0.5961	0.26861	2.2192	Lipodystrophy	tg_mgdl_ln	40	case_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	6880	0.0094477	46	15	9	NA	NA	NA	NA	High_LDL	high_ldl_adj	40	EUR_only	covart2d	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	22514	0.011993	80	69	38	0.83227	-0.0021971	0.010374	-0.21179	MonogenicDM_all	bmi_ln	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3015	0.0026534	27	8	8	0.39608	13.335	15.711	0.84876	MonogenicDM_all	ldl_mgdl_adj	40	EUR_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	11266	0.00035505	7	2	1	NA	NA	NA	NA	Lipodystrophy	t2d_with_pre	40	EUR_only		non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	9858	0.0017245	29	9	7	NA	NA	NA	NA	Low_LDL	low_ldl	40	control_only	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	11233	0.0014244	27	14	13	0.20199	-0.1713	0.13425	-1.276	MonogenicDM_all	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
8	19797040	19819724	8:19797040-19819724_High_triglycerides	10604	0.19181	5	5	1	8.09E-10	-0.068325	0.011112	-6.1488	High_triglycerides	tg_mgdl_adj_ln	40	control_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	11233	0.0053414	52	26	12	0.84171	0.013874	0.06947	0.19971	MODY	tg_mgdl_ln	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	6880	0.0018895	53	8	6	NA	NA	NA	NA	High_LDL	high_ldl	40	EUR_only	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	4154	0.00024073	7	1	1	0.40132	-30.993	36.925	-0.83935	Lipodystrophy	ldl_mgdl	40	EUR_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	7610	0.00091984	9	3	2	NA	NA	NA	NA	Low_LDL	low_ldl_adj	40	case_only	"covart2d,covarlipidmeds"	non_pathogenic
18	58038746	58039478	18:58038746-58039478_Obesity	17633	0.0009641	9	6	2	NA	NA	NA	NA	Obesity	Obese	40	case_only	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	11919	0.0002517	7	3	3	0.52159	-16.202	25.279	-0.64091	Lipodystrophy	ldl_mgdl_adj	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	6880	0.00014535	9	1	1	0.0015999	135.13	42.801	3.1572	Low_LDL	ldl_mgdl_adj	40	EUR_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	9320	0.0012876	17	12	12	0.34801	-9.7348	10.373	-0.9385	MODY	ldl_mgdl	40	All	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	21837	0.00050373	7	6	4	0.48191	-0.11069	0.1574	-0.70324	Lipodystrophy	tg_mgdl_ln	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	19178	0.11617	63	49	14	0.0012767	0.27857	0.083776	10.376	High_LDL	high_ldl	40	All	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	9107	0.00032942	7	2	1	NA	NA	NA	NA	Lipodystrophy	high_tg_adj	40	EUR_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	18	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_ln	40	EUR_only	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	4888	0.011047	65	15	9	0.19019	2.6362	2.0121	1.3102	MODY	hdl_mgdl	40	EUR_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	7610	0.0030223	53	8	2	3.21E-05	28.637	6.8826	4.1608	High_LDL	ldl_mgdl	40	case_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	4288	0.00023321	8	1	1	0.38501	0.45085	0.51893	0.8688	Lipodystrophy	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	6880	0.0018895	53	8	6	1.99E-06	47.696	10.022	4.7589	High_LDL	ldl_mgdl	40	EUR_only	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MODY	14118	0.0094914	65	41	24	0.55945	0.027299	0.046772	0.58367	MODY	tg_mgdl_ln	40	case_only	t2d_caseonly	non_pathogenic
8	19797040	19819724	8:19797040-19819724_High_triglycerides	14118	0.17255	5	4	0	3.10E-17	-0.094756	0.011209	-8.4537	High_triglycerides	tg_mgdl_ln	40	case_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	14118	0.00028333	8	4	4	0.031199	0.58651	0.27219	2.1547	Lipodystrophy	tg_mgdl_adj_ln	40	case_only	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	21838	0.00018317	8	4	4	0.0084463	2.5473	1.1306	6.9363	Lipodystrophy	high_tg	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
8	19797040	19819724	8:19797040-19819724_High_triglycerides	14118	0.17255	5	4	0	NA	NA	NA	NA	High_triglycerides	high_tg_adj	40	case_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	19178	0.010272	46	35	13	0.00069807	0.85673	0.23013	11.494	High_LDL	high_ldl	40	All	covart2d_with_pre	all_vus
8	19811679	19811733	8:19811679-19811733_High_triglycerides	9107	0.00054903	2	1	0	NA	NA	NA	NA	High_triglycerides	high_tg_adj	40	EUR_only	covart2d	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	14263	0.00014022	2	1	0	0.24643	11.008	9.4968	1.1591	Lipodystrophy	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	9320	0.0097639	65	28	15	0.38147	3.3233	3.7971	0.87524	MODY	ldl_mgdl	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	NA	NA	8	0	0	NA	NA	NA	NA	Lipodystrophy	tg_mgdl_adj_ln	40	control_only	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MODY	13558	0.0061218	52	35	20	0.36896	1.2985	1.4453	0.89845	MODY	hdl_mgdl	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	13558	0.00022127	2	2	1	0.38332	6.5986	7.5688	0.87182	Lipodystrophy	hdl_mgdl	40	case_only	t2d_with_pre_caseonly	all_vus
