#CHROM	BEGIN	END	MARKER_ID	MARKER	Gene	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
11	17417461	17417461	11:17417461-17417461_ABCC8	11:17417461-17417461	ABCC8	14118	7.08E-05	1	1	1	0.56904	-0.30986	0.54411	-0.56948	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
7	44187429	44192980	7:44187429-44192980_GCK	7:44187429-44192980	GCK	14118	0.00035416	6	5	5	0.21772	-0.29992	0.24331	-1.2327	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
12	121426701	121435443	12:121426701-121435443_HNF1A	12:121426701-121435443	HNF1A	14118	0.00056665	7	6	5	0.032832	-0.41071	0.19243	-2.1343	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
17	36093806	36093806	17:36093806-36093806_HNF1B	17:36093806-36093806	HNF1B	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
20	43052700	43052700	20:43052700-43052700_HNF4A	20:43052700-43052700	HNF4A	14118	7.08E-05	1	1	1	0.67475	0.22833	0.54409	0.41965	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
11	2182066	2182066	11:2182066-2182066_INS	11:2182066-2182066	INS	14118	7.08E-05	1	1	1	0.79404	-0.14213	0.54441	-0.26107	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
13	28494574	28494677	13:28494574-28494677_PDX1	13:28494574-28494677	PDX1	14118	0.00014166	2	2	2	0.76478	-0.11514	0.38481	-0.29921	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
16	56996009	57016150	16:56996009-57016150_CETP	16:56996009-57016150	CETP	10653	0.00037548	4	3	2	0.18232	1.3256	1.058	1.7786	High_HDL	high_hdl	40	control_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
7	44185189	44197686	7:44185189-44197686_GCK	7:44185189-44197686	GCK	4288	0.00069963	16	3	3	0.40573	-0.2493	0.29981	-0.83152	MODY	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
12	121416474	121438954	12:121416474-121438954_HNF1A	12:121416474-121438954	HNF1A	4288	0.001166	28	4	3	0.67663	0.096926	0.23239	0.41709	MODY	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	NA	NA	11	0	0	NA	NA	NA	NA	MODY	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
20	43042354	43057104	20:43042354-43057104_HNF4A	20:43042354-43057104	HNF4A	4288	0.00093284	5	1	0	0.84099	-0.052107	0.25971	-0.20063	MODY	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
13	28494327	28498711	13:28494327-28498711_PDX1	13:28494327-28498711	PDX1	4288	0.0090951	5	4	0	0.65059	-0.038153	0.084227	-0.45298	MODY	tg_mgdl_adj_ln	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
11	17417462	17482160	11:17417462-17482160_ABCC8	11:17417462-17482160	ABCC8	NA	NA	2	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
