#CHROM	BEGIN	END	MARKER_ID	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
multichrs	0	0	multichrs:0-0_MODY_Extended	6777	0.009001	46	20	11	0.51921	-2.9435	4.5664	-0.64459	MODY_Extended	ldl_mgdl	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	6777	0.00014756	3	1	1	0.91	-4.1106	36.363	-0.11304	Lipodystrophy	ldl_mgdl	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	6447	0.00046533	11	1	0	0.32443	-7.4201	7.5294	-0.98548	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_with_pre_caseonly	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	2625	0.0007619	1	1	0	0.76921	-0.037905	0.12918	-0.29343	Lipodystrophy	bmi_ln	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	7148	0.028539	71	32	18	0.82626	-0.0027631	0.012587	-0.21951	MonogenicDM_all	bmi_ln	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2469	0.0036452	17	7	5	0.0043464	-0.49818	0.17452	-2.8545	MonogenicDM_all	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	6777	0.00073779	6	3	2	0.26667	19.16	17.248	1.1109	Lipodystrophy	ldl_mgdl_adj	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2468	0.0036467	14	7	5	0.10905	-18.675	11.65	-1.6031	MODY	ldl_mgdl	40	All	t2d_caseonly	pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	36430	0.001098	6	6	1	0.31857	0.076184	0.076382	0.99742	Lipodystrophy	tg_mgdl_ln	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.14396	50	49	22	0.21396	0.071662	0.057108	1.5444	High_LDL	high_ldl	40	All	covart2d	non_pathogenic
chr2	21006629	21006629	chr2:21006629-21006629_Low_LDL	36419	5.49E-05	1	1	0	0.0082456	-57.818	21.884	-2.642	Low_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	36430	0.0001647	3	2	0	0.3202	0.87068	0.89159	0.98812	Lipodystrophy	high_tg	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0066723	35	34	17	0.97253	0.0090454	0.26255	0.0011859	High_LDL	high_ldl	40	All	covart2d_with_pre	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	6447	0.00046533	1	1	0	0.67656	-3.0916	7.4108	-0.41717	Lipodystrophy	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	2468	0.025527	60	15	9	0.50239	-2.9172	4.3487	-0.67083	MODY	ldl_mgdl	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2342	0.0089667	45	10	7	0.82124	-0.62777	2.7781	-0.22597	MODY	hdl_mgdl	40	All	t2d_caseonly	all_vus
chr18	60371466	60372294	chr18:60371466-60372294_Obesity	38450	0.00080624	13	13	5	0.027917	0.8338	0.37198	4.8332	Obesity	Obese	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	2469	0.00040502	11	1	1	0.26298	0.59476	0.53121	1.1196	Neonatal_Diabetes	tg_mgdl_adj_ln	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	0.077784	4.1573	1.3013	3.1106	Low_LDL	low_ldl_adj	40	All	"covart2d,covarlipidmeds"	non_pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	6777	0.00073779	6	3	2	0.46168	10.531	14.306	0.73612	Lipodystrophy	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	6777	0.00014756	3	1	1	0.78656	8.6541	31.959	0.27079	Lipodystrophy	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	36430	0.001098	6	6	1	0.4182	0.31091	0.37908	0.65536	Lipodystrophy	high_tg_adj	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2469	0.0089105	45	10	7	0.22543	-0.13817	0.11395	-1.2125	MODY	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	5	0	0	NA	NA	NA	NA	Neonatal_Diabetes	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	2469	0.0089105	46	10	7	0.18424	-0.1491	0.11226	-1.3282	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	38566	0.026448	71	71	35	0.48184	0.086117	0.12099	0.49469	MonogenicDM_all	t2d	40	All		non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0023065	37	34	20	1.84E-06	1.4642	0.26757	22.756	High_LDL	high_ldl	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6447	0.02854	71	31	17	0.82504	0.20702	0.93643	0.22108	MonogenicDM_all	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
chr2	21006629	21006629	chr2:21006629-21006629_Low_LDL	36419	5.49E-05	1	1	0	0.055491	4.8614	1.9841	3.6673	Low_LDL	low_ldl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	38566	0.009568	47	47	21	0.94981	-0.013202	0.21023	0.0039627	MonogenicDM_all	t2d	40	All		all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6779	0.0020652	17	12	10	0.0027312	-0.39753	0.13262	-2.9976	MonogenicDM_all	tg_mgdl_ln	40	All	t2d_with_pre_caseonly	pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	36430	0.00079605	1	1	0	0.21305	0.54164	0.42499	1.5506	Lipodystrophy	high_tg	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_MODY	7148	0.0018187	14	11	9	0.01622	-0.12081	0.050243	-2.4045	MODY	bmi_ln	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0024987	40	39	23	7.77E-16	5.8953	0.53236	65.036	Low_LDL	low_ldl	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	6777	0.00044267	11	1	0	0.77419	5.2947	18.454	0.28691	Neonatal_Diabetes	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	36430	0.00079605	1	1	0	0.26083	0.50047	0.43589	1.2643	Lipodystrophy	high_tg_adj	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	6777	0.0019183	14	11	9	0.0031732	-31.256	10.59	-2.9515	MODY_Extended	ldl_mgdl_adj	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	5	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	2468	0.0089141	46	10	7	0.61615	4.4129	8.8015	0.50138	MODY_Extended	ldl_mgdl_adj	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	36430	0.00079605	1	1	0	0.30453	0.092094	0.089691	1.0268	Lipodystrophy	tg_mgdl_adj_ln	40	All	"covart2d,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	6779	0.00044254	11	1	0	0.46014	0.21111	0.2858	0.73865	Neonatal_Diabetes	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	NA	NA	3	0	0	NA	NA	NA	NA	Lipodystrophy	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	3.13E-13	-35.977	4.934	-7.2915	Low_LDL	ldl_mgdl	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	36430	0.0001647	3	2	0	0.46001	0.65966	0.91428	0.54588	Lipodystrophy	high_tg_adj	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	6447	0.00046533	1	1	0	0.53826	-4.639	7.5372	-0.61548	Lipodystrophy	hdl_mgdl	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	6779	0.0019177	14	11	9	0.0017341	-0.44113	0.14077	-3.1336	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2468	0.0036467	17	7	5	0.10905	-18.675	11.65	-1.6031	MonogenicDM_all	ldl_mgdl	40	All	t2d_caseonly	pathogenic
chr18	60371454	60371827	chr18:60371454-60371827_Obesity	38450	0.00041612	3	3	1	0.076914	0.071142	0.040217	1.7689	Obesity	bmi_ln	40	All	covart2d	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	6779	0.00044254	1	1	0	0.013882	0.70355	0.28589	2.4609	Lipodystrophy	tg_mgdl_adj_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_High_triglycerides	36430	0.19295	4	4	2	1.10E-54	-0.091621	0.0058733	-15.599	High_triglycerides	tg_mgdl_adj_ln	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0024987	40	39	23	1.06E-12	6.0863	0.56135	50.729	Low_LDL	low_ldl_adj	40	All	covart2d	pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	2468	0.0012156	6	2	1	0.14342	27.148	18.548	1.4636	Lipodystrophy	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	6779	0.0019177	14	11	9	0.00099004	-0.45239	0.13731	-3.2948	MODY_Extended	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MODY	6447	0.0091515	45	20	11	0.88122	-0.24446	1.636	-0.14942	MODY	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	2468	0.0036467	14	7	5	0.071121	-19.355	10.72	-1.8055	MODY	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MODY	2468	0.0089141	45	10	7	0.61615	4.4129	8.8015	0.50138	MODY	ldl_mgdl_adj	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	2469	0.00081004	1	1	0	0.0017488	1.1588	0.36985	3.1333	Lipodystrophy	tg_mgdl_ln	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0023065	37	34	20	6.04E-44	53.913	3.8725	13.922	High_LDL	ldl_mgdl_adj	40	All	covart2d_with_pre	pathogenic
multichrs	0	0	multichrs:0-0_MODY	38566	0.0251	60	60	31	0.51002	0.083	0.12457	0.43403	MODY	t2d	40	All		non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2468	0.0089141	45	10	7	0.63007	3.3194	6.891	0.48169	MODY	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	6447	0.0273	60	27	15	0.78575	0.25982	0.95575	0.27185	MODY	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
chr8	19954222	19955874	chr8:19954222-19955874_High_triglycerides	36430	0.00096075	2	2	1	0.010011	0.21069	0.081804	2.5756	High_triglycerides	tg_mgdl_ln	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	38566	0.0087901	46	46	21	0.93998	-0.016506	0.21987	0.0056702	MODY_Extended	t2d	40	All		all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2342	0.027754	71	18	11	0.65941	0.68598	1.5562	0.44079	MonogenicDM_all	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	38566	0.00041487	14	14	12	2.57E-08	3.0448	0.51573	31.01	MODY_Extended	t2d	40	All		pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0066723	35	34	17	0.36853	-2.0313	2.2588	-0.89924	High_LDL	ldl_mgdl_adj	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	5	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0066723	35	34	17	0.42769	0.15678	0.19418	0.62909	High_LDL	high_ldl_adj	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.14396	50	49	22	0.26115	-0.51066	0.45445	-1.1237	High_LDL	ldl_mgdl	40	All	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	0.082077	4.0642	1.2946	3.0233	Low_LDL	low_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	38566	0.00028523	5	5	3	0.65623	-0.5896	1.5226	0.19813	Neonatal_Diabetes	t2d	40	All		all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	7148	0.0019586	17	12	10	0.028913	-0.10579	0.048412	-2.1851	MonogenicDM_all	bmi_ln	40	All	t2d_with_pre_caseonly	pathogenic
chr2	21006629	21006629	chr2:21006629-21006629_Low_LDL	36419	5.49E-05	1	1	0	0.042513	5.5539	2.0163	4.1147	Low_LDL	low_ldl_adj	40	All	covart2d_with_pre	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	2342	0.0089667	46	10	7	0.82124	-0.62777	2.7781	-0.22597	MODY_Extended	hdl_mgdl	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY	38566	0.0087123	45	45	21	0.35197	0.13054	0.13873	0.86635	MODY	t2d_with_pre	40	All		all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	7148	0.009653	47	22	12	0.37156	-0.019161	0.021442	-0.89361	MonogenicDM_all	bmi_ln	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6777	0.028331	71	31	17	0.70726	-1.0357	2.7579	-0.37555	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	2469	0.025921	65	16	10	0.76317	0.019518	0.06477	0.30135	MODY_Extended	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	38566	0.009568	47	47	21	0.67026	0.057506	0.13448	0.1813	MonogenicDM_all	t2d_with_pre	40	All		all_vus
multichrs	0	0	multichrs:0-0_High_triglycerides	36430	0.19295	4	4	2	2.63E-55	-0.093718	0.0059726	-15.691	High_triglycerides	tg_mgdl_adj_ln	40	All	covart2d_with_pre	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2469	0.0036452	14	7	5	0.0043464	-0.49818	0.17452	-2.8545	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0023065	37	34	20	1.39E-29	42.508	3.76	11.305	High_LDL	ldl_mgdl_adj	40	All	"covart2d,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MODY	6779	0.0089984	45	20	11	0.26675	-0.069034	0.062156	-1.1107	MODY	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	6447	0.0273	60	27	15	0.81571	0.22659	0.97216	0.23308	MODY	hdl_mgdl	40	All	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	6777	0.0019183	14	11	9	0.0040791	-30.72	10.693	-2.873	MODY	ldl_mgdl_adj	40	All	t2d_with_pre_caseonly	pathogenic
chr2	21006629	21006629	chr2:21006629-21006629_Low_LDL	36419	5.49E-05	1	1	0	0.048614	5.3177	2.011	3.8886	Low_LDL	low_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr8	19954222	19955874	chr8:19954222-19955874_High_triglycerides	36430	0.00096075	2	2	1	0.012409	0.20416	0.081649	2.5004	High_triglycerides	tg_mgdl_ln	40	All	"covart2d,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.14396	50	49	22	0.69068	0.018579	0.046593	0.15835	High_LDL	high_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	6779	0.027585	65	28	15	0.40594	0.029797	0.035852	0.83111	MODY_Extended	tg_mgdl_adj_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	2469	0.0036452	14	7	5	0.0043464	-0.49818	0.17452	-2.8545	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	36430	0.001098	6	6	1	0.26386	0.085031	0.076101	1.1173	Lipodystrophy	tg_mgdl_adj_ln	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	3.43E-13	-36.076	4.956	-7.2792	Low_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	38566	0.00028523	5	5	3	0.10072	-1.7932	1.5221	2.694	Neonatal_Diabetes	t2d_with_pre	40	All		all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6779	0.0020652	17	12	10	0.0044242	-0.38622	0.13565	-2.8472	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	2342	0.0038429	14	7	5	0.0021297	12.979	4.221	3.075	MODY_Extended	hdl_mgdl	40	All	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2468	0.027147	71	18	11	0.9906	-0.045865	3.8927	-0.011782	MonogenicDM_all	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	36430	0.0001647	3	2	0	0.42613	0.15954	0.20047	0.79585	Lipodystrophy	tg_mgdl_adj_ln	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6777	0.0094437	47	21	11	0.90809	0.45304	3.9241	0.11545	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	36430	0.001098	6	6	1	0.51159	0.247	0.37356	0.43082	Lipodystrophy	high_tg_adj	40	All	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	38566	0.025411	65	65	34	0.068331	0.14942	0.080925	3.3227	MODY_Extended	t2d_with_pre	40	All		non_pathogenic
chr8	19954222	19955874	chr8:19954222-19955874_High_triglycerides	36430	0.00096075	2	2	1	0.0059526	0.22411	0.081477	2.7505	High_triglycerides	tg_mgdl_ln	40	All	covart2d_with_pre	all_vus
multichrs	0	0	multichrs:0-0_MODY	6779	0.0089984	45	20	11	0.37758	-0.056229	0.06372	-0.88243	MODY	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	6779	0.0089984	46	20	11	0.26675	-0.069034	0.062156	-1.1107	MODY_Extended	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	6779	0.027143	60	27	15	0.45691	0.026873	0.036121	0.74398	MODY	tg_mgdl_adj_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
chr16	56961990	56981660	chr16:56961990-56981660_High_HDL	34561	0.00066549	13	13	8	0.00045513	1.6247	0.5115	12.291	High_HDL	high_hdl	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	6777	0.0020658	17	12	10	0.0058861	-28.111	10.204	-2.7549	MonogenicDM_all	ldl_mgdl_adj	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MODY	6777	0.027151	60	27	15	0.37668	-2.0619	2.3322	-0.88409	MODY	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	5.10E-12	-39.281	5.6887	-6.9051	Low_LDL	ldl_mgdl_adj	40	All	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2469	0.0089105	45	10	7	0.19061	-0.14701	0.1123	-1.3091	MODY	tg_mgdl_ln	40	All	t2d_caseonly	all_vus
