#CHROM	BEGIN	END	MARKER_ID	MARKER	Gene	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
chr7	44147830	44153381	chr7:44147830-44153381_GCK	chr7:44147830-44153381	GCK	2469	0.0028352	8	5	3	0.015657	-0.48549	0.20074	-2.4185	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
chr12	120989032	120999262	chr12:120989032-120999262_HNF1A	chr12:120989032-120999262	HNF1A	2469	0.00081004	5	2	2	0.13816	-0.55727	0.37573	-1.4832	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
chr13	27920320	27920320	chr13:27920320-27920320_PDX1	chr13:27920320-27920320	PDX1	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_adj_ln	40	All	t2d_caseonly	pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	6779	0.0016227	7	5	1	0.27572	-0.1668	0.15302	-1.0901	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	6779	0.0013276	23	8	7	0.74518	-0.055053	0.16939	-0.32501	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	6779	0.0023602	9	5	3	0.68237	0.051989	0.12704	0.40924	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_LMNA	chr1:156137679-156137679	LMNA	6779	0.00044254	1	1	0	0.008116	0.77597	0.29304	2.648	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	6779	0.0036879	2	2	0	0.44056	-0.074108	0.096083	-0.7713	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
chr19	11100237	11129602	chr19:11100237-11129602_LDLR	chr19:11100237-11129602	LDLR	36419	0.0035146	32	32	17	0.00016393	10.211	2.709	3.7694	High_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr1	55052701	55058549	chr1:55052701-55058549_PCSK9	chr1:55052701-55058549	PCSK9	36419	0.0031852	3	2	0	1.37E-08	-16.338	2.8775	-5.6778	High_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr2	21005653	21038086	chr2:21005653-21038086_APOB	chr2:21005653-21038086	APOB	36419	0.001318	24	23	13	1.35E-13	6.6082	0.60845	54.778	Low_LDL	low_ldl_adj	40	All	"covart2d,covarlipidmeds"	pathogenic
chr1	55039870	55061473	chr1:55039870-55061473_PCSK9	chr1:55039870-55061473	PCSK9	36419	0.0011807	16	16	10	0.10724	3.5975	1.281	2.5944	Low_LDL	low_ldl_adj	40	All	"covart2d,covarlipidmeds"	pathogenic
chr8	19954222	19955874	chr8:19954222-19955874_LPL	chr8:19954222-19955874	LPL	36430	0.00096075	2	2	1	0.010011	0.21069	0.081804	2.5756	High_triglycerides	tg_mgdl_ln	40	All	covart2d	all_vus
chr19	11100237	11129602	chr19:11100237-11129602_LDLR	chr19:11100237-11129602	LDLR	36419	0.0035146	32	32	17	0.16147	0.46096	0.31029	1.9604	High_LDL	high_ldl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr1	55052701	55058549	chr1:55052701-55058549_PCSK9	chr1:55052701-55058549	PCSK9	36419	0.0031852	3	2	0	0.17171	-0.60052	0.48431	1.8679	High_LDL	high_ldl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr2	21006288	21006289	chr2:21006288-21006289_APOB	chr2:21006288-21006289	APOB	36419	0.00074137	2	2	1	1.78E-06	2.0275	0.42097	22.823	High_LDL	high_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
